competitor,date,source,title,content,category,source_url,collected_at,item_id
NetEase News,2026-07-27,Apple App Store,App Store rating snapshot · v117.8,"Version 117.8 has an App Store rating of 4.70/5 from 784,889 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E7%BD%91%E6%98%93%E6%96%B0%E9%97%BB-%E5%A4%B4%E6%9D%A1%E6%96%B0%E9%97%BB%E8%A7%86%E9%A2%91%E8%B5%84%E8%AE%AF%E5%B9%B3%E5%8F%B0/id425349261?uo=4,2026-07-27,appstore:425349261:rating:8315bebc5737c537
Sohu News,2026-07-27,Apple App Store,App Store rating snapshot · v7.5.60,"Version 7.5.60 has an App Store rating of 4.73/5 from 81,025 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E6%90%9C%E7%8B%90%E6%96%B0%E9%97%BB-%E5%87%86%E7%A1%AE%E5%8F%AF%E9%9D%A0/id436957087?uo=4,2026-07-27,appstore:436957087:rating:b8f4312d23659f18
Tencent News,2026-07-27,Apple App Store,App Store rating snapshot · v7.9.93,"Version 7.9.93 has an App Store rating of 4.02/5 from 353,101 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E8%85%BE%E8%AE%AF%E6%96%B0%E9%97%BB/id399363156?uo=4,2026-07-27,appstore:399363156:rating:5ca36af01ad02db2
Toutiao,2026-07-27,Apple App Store,App Store rating snapshot · v17.7.0,"Version 17.7.0 has an App Store rating of 4.76/5 from 2,804,766 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E4%BB%8A%E6%97%A5%E5%A4%B4%E6%9D%A1/id529092160?uo=4,2026-07-27,appstore:529092160:rating:0987ccb4a1c21902
NetEase News,2026-07-26,Apple App Store,App Store rating snapshot · v117.8,"Version 117.8 has an App Store rating of 4.70/5 from 784,873 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E7%BD%91%E6%98%93%E6%96%B0%E9%97%BB-%E5%A4%B4%E6%9D%A1%E6%96%B0%E9%97%BB%E8%A7%86%E9%A2%91%E8%B5%84%E8%AE%AF%E5%B9%B3%E5%8F%B0/id425349261?uo=4,2026-07-26,appstore:425349261:rating:34c31c3589c03c8f
Sohu News,2026-07-26,Apple App Store,App Store rating snapshot · v7.5.60,"Version 7.5.60 has an App Store rating of 4.73/5 from 81,022 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E6%90%9C%E7%8B%90%E6%96%B0%E9%97%BB-%E5%87%86%E7%A1%AE%E5%8F%AF%E9%9D%A0/id436957087?uo=4,2026-07-26,appstore:436957087:rating:4bd8f546aa0c724b
Tencent News,2026-07-26,Apple App Store,App Store rating snapshot · v7.9.93,"Version 7.9.93 has an App Store rating of 4.02/5 from 353,069 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E8%85%BE%E8%AE%AF%E6%96%B0%E9%97%BB/id399363156?uo=4,2026-07-26,appstore:399363156:rating:fb30862b441a8282
Toutiao,2026-07-26,Apple App Store,App Store rating snapshot · v17.7.0,"Version 17.7.0 has an App Store rating of 4.76/5 from 2,804,678 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E4%BB%8A%E6%97%A5%E5%A4%B4%E6%9D%A1/id529092160?uo=4,2026-07-26,appstore:529092160:rating:18adc6433516a342
NetEase News,2026-07-25,Apple App Store,App Store positioning snapshot · v117.8,"20年专业媒体沉淀，为您精选优质好内容！热点时事直击新闻事件，更有网易跟贴，只为新闻！ 【今日关注】 每日热点，动态追踪。全球时事，一网打尽。 【热点视频】 拥有海量视频，涵盖多种品类，热门推荐让你视频刷不停。 【圈子】 兴趣小组、热点讨论、搞笑沙雕、情感树洞、娱乐八卦，还有各种垂直领域...快到圈子里和志趣相投的小伙伴一起畅聊！ 【犀利论点】 直奔跟贴区，犀利都汇聚。更多神级吐槽能手聚集，有梗点赞爆，有槽也能「杠」，从诗词歌赋到人生理想，跟贴讨论都能满足你。 【关注】 点击关注感兴趣的帐号，自动生成个人专属信息流，享受纯净的私人订制栏目，只看你最关注的内容。 【网易号】 众多知名自媒体均已入驻网易号，等你来关注。 【互动直播】 火速直击新闻事件，不作秀，只为新闻。 【轻松一刻】 搞笑段子看不完，轻松鬼畜都在这儿，幽默精彩伴你同行。 【自动订阅服务说明】 1.订阅服务：网易新闻VIP连续包月（1个月)、网易新闻VIP连续包年 （12个月） 2.订阅价格：网易新闻VIP连续包月产品为16元/月，连续包年产品为168元/年 3.付款：用户确认购买并付款后计入iTunes 账户 4.自动续费：苹果iTunes 账户会在到期前24小时内扣费，扣费成功后订阅周期顺延一个订阅周期 5.关闭服务：您可以在苹果手机""设置""--＞ 进入iTunes Store 与 App Store""-->点击""Apple ID""选择""查看Apple ID""，进入""账户设置""页面，点击""订阅""，管理自动订阅服务,如需取消，每个计费周期结束前24小时关闭即可，到期前 24小时内则不再扣费 6.服务协议：https://wp.m.163.com/163/page/word/vip/vip-agreement.html?__sf=d 7.自动续费协议：https://wp.m.163.com/163/page/word/vip/auto-renewal-agreement.html?__sf=d 8.隐私协议：https://wp.m.163.com/163/page/f2e/common/privacy/index.html",Brand Positioning,https://apps.apple.com/cn/app/%E7%BD%91%E6%98%93%E6%96%B0%E9%97%BB-%E5%A4%B4%E6%9D%A1%E6%96%B0%E9%97%BB%E8%A7%86%E9%A2%91%E8%B5%84%E8%AE%AF%E5%B9%B3%E5%8F%B0/id425349261?uo=4,2026-07-25,appstore:425349261:positioning:c991358065259039
NetEase News,2026-07-25,Apple App Store,App Store rating snapshot · v117.8,"Version 117.8 has an App Store rating of 4.70/5 from 784,871 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E7%BD%91%E6%98%93%E6%96%B0%E9%97%BB-%E5%A4%B4%E6%9D%A1%E6%96%B0%E9%97%BB%E8%A7%86%E9%A2%91%E8%B5%84%E8%AE%AF%E5%B9%B3%E5%8F%B0/id425349261?uo=4,2026-07-25,appstore:425349261:rating:d9a78c0471283a2b
